TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
1,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,White,2,1,42,Weekday,2,2003,1,1,8778055.395858
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,1,42,Weekend,1,2003,1,1,1881693.933144
2,430.0,430.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,8.0,2.0,Black,3,1,42,Weekday,2,2003,1,1,14183627.275792
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,12.0,3.0,White,2,1,42,Weekday,2,2003,1,2,7274312.811169
2,680.0,380.0,0.0,0.0,300.0,0.0,0.0,60.0,0.0,0.0,11.0,3.0,White,2,1,42,Weekday,2,2003,1,1,6891589.886965
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,Hispanic,1,1,42,Weekend,1,2003,1,1,4135261.831352
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White,2,1,42,Weekend,1,2003,1,2,2437426.166561
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,Black,3,1,42,Weekend,1,2003,1,1,3988264.195215
2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,408.0,47.0,6.0,1.0,Black,3,3,47,Weekday,2,2003,1,2,3058445.489642
2,315.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,325.0,10.0,2.0,White,2,3,47,Weekday,2,2003,1,2,3299630.501024
2,110.0,110.0,0.0,0.0,0.0,0.0,25.0,90.0,260.0,0.0,9.0,2.0,White,2,3,47,Weekday,2,2003,1,2,15168208.84505
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,White,2,3,48,Weekend,1,2003,1,1,3400214.138545
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,White,2,3,48,Weekday,2,2003,1,1,4615785.506614
